"pro","class"
0.355970723796789,"No"
0.251863713954952,"No"
0.0755224704998148,"No"
0.558370736212259,"No"
0.136304194461925,"No"
0.217253698037682,"No"
0.282830822667653,"No"
0.360640376059721,"No"
0.250181390205676,"No"
0.274266214867819,"No"
0.431959098964984,"No"
0.885166513296354,"No"
0.155967212119745,"No"
0.951701120247272,"No"
0.316394463676454,"No"
0.271249609248176,"No"
0.211952027060496,"No"
0.36546070132949,"No"
0.220744511551961,"No"
0.357622193066261,"No"
0.58390571207533,"No"
0.250584238585427,"No"
0.636889513442779,"No"
0.259247789585565,"No"
0.525940686416238,"No"
0.460969070452323,"No"
0.436701977363364,"No"
0.699747247680828,"No"
0.817070103067964,"No"
0.305017886215733,"No"
0.248924414064024,"No"
0.24326670089159,"No"
0.300862700546816,"No"
0.288831319718521,"No"
0.0555039377287119,"No"
